app_name,review_date,rating,cleaned_content,review_length,flag_safety,flag_subscription
Tinder,1970-01-01 00:29:25.386872,2,app starting correctley,3,0,0
Tinder,1970-01-01 00:29:25.386453,5,niceeeeeeeee,1,0,0
Tinder,1970-01-01 00:29:25.386197,5,,0,0,0
Tinder,1970-01-01 00:29:25.383337,1,absolutely awful every little thing hidden behind paywall queer ppl changing gender appear profile,14,0,1
Tinder,1970-01-01 00:29:25.383310,5,love,1,0,0
Tinder,1970-01-01 00:29:25.380612,3,generally waste time,3,0,0
Tinder,1970-01-01 00:29:25.378269,1,black hole nothing,3,0,0
Tinder,1970-01-01 00:29:25.377887,1,fake app aware,3,0,0
Tinder,1970-01-01 00:29:25.376150,5,amazing connecting real people,4,0,0
Tinder,1970-01-01 00:29:25.375583,5,love app,2,0,0
Tinder,1970-01-01 00:29:25.373933,5,great,1,0,0
Tinder,1970-01-01 00:29:25.373917,5,tinder really great app meet people u havent tried tinder ur missing greatly,13,0,0
Tinder,1970-01-01 00:29:25.372678,1,remove search option,3,0,0
Tinder,1970-01-01 00:29:25.371769,1,false advertising purchased gold membership week day matches really want make known tinder false advertises premium features gold get premium preference feature states control see false youll show whoever wording changes false sense control bot profiles etc,37,0,0
Tinder,1970-01-01 00:29:25.371698,1,many scams people put whatsapp numbers telegram ids dp take advance payment never meet tinder must take responsibility stop misuse otherwise app lose trust completely,25,1,1
Tinder,1970-01-01 00:29:25.370771,1,app used years matches pointless,5,0,0
Tinder,1970-01-01 00:29:25.369473,1,deleted profile lost subscription gold,5,0,1
Tinder,1970-01-01 00:29:25.369442,1,banned kept saying im didnt even bother seeing verification id seems using automated systems bans people lol,17,0,0
Tinder,1970-01-01 00:29:25.368834,5,love woman,2,0,0
Tinder,1970-01-01 00:29:25.368793,1,absolute garbage,2,0,0
Tinder,1970-01-01 00:29:25.368138,5,tinder always best dating ever free texting mandatory payment anything u chose want pay everything fine app love,18,0,1
Tinder,1970-01-01 00:29:25.366994,1,cesspool,1,0,0
Tinder,1970-01-01 00:29:25.365955,5,please get committed inspiring app,5,0,0
Tinder,1970-01-01 00:29:25.364100,1,never buy subscription sucks india atleast,6,0,1
Tinder,1970-01-01 00:29:25.363040,5,well,1,0,0
Tinder,1970-01-01 00:29:25.363030,5,great,1,0,0
Tinder,1970-01-01 00:29:25.361241,2,subscribed month still charging even tho dont even use app cant unsubscribe,12,0,0
Tinder,1970-01-01 00:29:25.360972,1,killed socialization,2,0,0
Tinder,1970-01-01 00:29:25.360142,3,happening,1,0,0
Tinder,1970-01-01 00:29:25.359961,5,good,1,0,0
Tinder,1970-01-01 00:29:25.358950,5,good,1,0,0
Tinder,1970-01-01 00:29:25.358681,5,nice,1,0,0
Tinder,1970-01-01 00:29:25.358460,1,botsscams amount insane,3,1,0
Tinder,1970-01-01 00:29:25.356575,2,would buy platinum except know youre going pocket money bother show profile users good ones anyway even though im supposed priority likes dont know counts fraud im lawyer,28,1,0
Tinder,1970-01-01 00:29:25.355928,1,bekar app h,3,0,0
Tinder,1970-01-01 00:29:25.354981,1,simply terrible platforms show done perfect app become depressed system poorly created cant even see liked unless pay subscription incredibly lucky match anyone consequence two ways behave either swipe every person algorithm longer expose others dont play rigged game leave guess advise,42,0,1
Tinder,1970-01-01 00:29:25.354809,4,good,1,0,0
Tinder,1970-01-01 00:29:25.354438,1,cant anything without paying pay youll match bots even scam bots engagement bots dont even send message app cancer would easy actually verify users check active tinder knows dead would rather try hide,33,1,1
Tinder,1970-01-01 00:29:25.353756,5,goood,1,0,0
Tinder,1970-01-01 00:29:25.353015,1,fake likes matches,3,0,0
Tinder,1970-01-01 00:29:25.352936,1,cant feature show people actually live near sick seeing people nearby actually live hundreds miles away,16,0,0
Tinder,1970-01-01 00:29:25.352406,1,terrible experience cash grab overbearing micromanaging administrators delete profile photos even dont violate community guidelines expensive value investment wish could rate zero five deserved renewing subscription paid month sure whats far alternatives ill take random chance real world garbage,39,0,1
Tinder,1970-01-01 00:29:25.350748,1,app doesnt deserve even star also completely money wasting,9,0,0
Tinder,1970-01-01 00:29:25.350624,1,years using tinder didnt get match one real person total number people meet others bots get real person app ceo tinder,21,0,0
Tinder,1970-01-01 00:29:25.350145,1,worst app ever hive fake profiles cybercrime activists tinder checks fake real profiles many bots basically alot sextortion crimes happen lure people tinder instagram social media platforms demand money give threats sextortion basically take screenshots followers threaten send em whoever tinder uninstall company checks whatsoever keep platform clean,48,0,0
Tinder,1970-01-01 00:29:25.349315,5,good,1,0,0
Tinder,1970-01-01 00:29:25.348452,5,good sad cant see people unless pay,7,0,1
Tinder,1970-01-01 00:29:25.348178,5,awesome,1,0,0
Tinder,1970-01-01 00:29:25.347588,1,app recently gotten much worse swiped literally fake accounts row obviously fake accounts names random letters ai nature pics profile pics dont bother app pay extra version dont waste money go different app,33,0,1
Tinder,1970-01-01 00:29:25.346251,1,month see likes app doesnt enough,6,0,0
Tinder,1970-01-01 00:29:25.341954,3,im starting tinder still learning ways looks good far,9,0,0
Tinder,1970-01-01 00:29:25.340769,5,maybe find hard believe found love life together past years imagine would life look didnt use app,17,0,0
Tinder,1970-01-01 00:29:25.340285,5,nice app,2,0,0
Tinder,1970-01-01 00:29:25.339202,2,tinder experience confusing exhausting honestly nonsense still dont understand people use tinder first opened app set location indonesia hoping find woman connect almost everyone met felt either confused uninterested simply looking something else searching good things partner boyfriend husband many others money help cheating fraud hookups random meetups,48,1,0
Tinder,1970-01-01 00:29:25.339020,3,still gf maybe im ugly af,6,0,0
Tinder,1970-01-01 00:29:25.338441,5,im glad unblocked accountthank,4,0,0
Tinder,1970-01-01 00:29:25.334862,5,nice thankyou,2,0,0
Tinder,1970-01-01 00:29:25.334804,5,awosome,1,0,0
Tinder,1970-01-01 00:29:25.333339,1,terrible app fake profiles app constantly makes verify profile recommend,10,0,0
Tinder,1970-01-01 00:29:25.333144,1,worth filled scammers fake profiles,5,1,0
Tinder,1970-01-01 00:29:25.332763,5,good,1,0,0
Tinder,1970-01-01 00:29:25.330712,1,wanted profile name changed followed official instructions delete account recreate deleted could reactivate subscription sent messages far reponse support team even automated one real people working company frustrating experience waste time money stars,33,0,1
Tinder,1970-01-01 00:29:25.326627,2,well downloaded wont make good vidio picture later feature requires weekly monthly premium free experience though dont know one paid,20,0,0
Tinder,1970-01-01 00:29:25.325883,1,joke,1,0,0
Tinder,1970-01-01 00:29:25.325242,1,first time life downloaded app registered google account months number got instantly banned appellation center ban ticket never used tinder,20,0,0
Tinder,1970-01-01 00:29:25.325007,5,love meeting variety people,4,0,0
Tinder,1970-01-01 00:29:25.324117,1,garbage unless want meet ogre shrek style even pay premium version still wade hundreds hundreds creatures lands unknown find good looking woman selling youre looking find streetwalker look also lot accounts fake andor scams toi fair good getting use app use intoxicated may regret afterwards total garbage company app,49,1,1
Tinder,1970-01-01 00:29:25.324014,1,delete app,2,0,0
Tinder,1970-01-01 00:29:25.320177,5,tinder actually great app meet plenty friends,7,0,0
Tinder,1970-01-01 00:29:25.319137,4,fine pay however ridiculous terms chat please guys something better,10,0,1
Tinder,1970-01-01 00:29:25.318327,1,decided pay months subscription starting think seriously finding another relationship requested another months subscription fee days absolute criminal,18,0,1
Tinder,1970-01-01 00:29:25.315068,1,cant find cancel memebership,4,0,0
Tinder,1970-01-01 00:29:25.314564,2,live london search radius ten miles twitter matches every fake african profile admittedly lying location,15,0,0
Tinder,1970-01-01 00:29:25.312500,1,im getting likes real people im magically receiving like random person always description two photos anything people tinder even hiding bots,21,0,0
Tinder,1970-01-01 00:29:25.308502,1,sucks,1,0,0
Tinder,1970-01-01 00:29:25.308456,1,say someone something wrong didnt anything removed appthe person said wrong reading complaint id gonethere customer care number well associated connect kind experience thought,24,0,0
Tinder,1970-01-01 00:29:25.308026,1,evidently developer didnt like review retaliated account locked ill tell remove verification block account ill change review star dont fix ill reword review even scathing ill delete app,28,0,0
Tinder,1970-01-01 00:29:25.307227,2,weight limit youll get streak land whales see single pretty girl app desperately need let use sort weight,18,0,0
Tinder,1970-01-01 00:29:25.302632,1,banned doesnt give way appeal link gave appeal keeps saying need log says youre banned,15,0,0
